id_brand,brand
0,QUILQUE
1,COLUN
2,WINTER
3,CUISINE & CO
4,RECETA DEL ABUELO
5,PF
6,NA
7,SOPRAVAL
8,RÍO BUENO
9,LAS PARCELAS DE VALDIVIA
10,PHILADELPHIA
11,SAN JORGE
12,LOS ALERCES
13,LA PREFERIDA
14,SOPROLE
15,SUPER POLLO
16,MONTINA
17,SCHWENCKE
18,LA MONTINA
19,SUPER CERDO
20,LLANQUIHUE
21,MATTHEI
22,GREENBAY
23,SURLAT
24,CALO
25,LOS ALPES
26,QUILLAYES
27,RIKÜ
28,BERGADER
29,LA VAQUITA
30,LA CRIANZA
31,HUILCO
32,LÁCTEOS CHAUQUÉN
33,SANTA ROSA
34,CHILLÁN
35,VALLE DEL NORTE
36,MORINGA
37,BUDAPEST
38,VEVAN
39,LOS TILOS
40,DOS CASTAÑOS
41,LÁCTEOS VALDIVIA
42,CYMSA
43,LA PIARA
44,OLIOMIO
45,GRANAROLO
46,LA CABRESA
47,CALLAQUI
48,PAHUILMO
49,PRESIDENTE
50,MAASDAMMER
51,SAN PABLO
52,ILE DE FRANCE
53,SAN BENITO
54,MISTER VEGGIE
55,VELDHUYZEN
56,VIOLIFE
57,PRESIDENT
58,RANCO
59,LATTERIA SORESINA
60,LA ROTUNDA
61,BASIRON
62,SAN RAFAEL
63,TRUJILLO
64,LA ANTIGUA JAMONERÍA
65,IDEAL
66,PANADERÍA PROPIA
67,PAN PIERRE
68,SANTA ISABEL
69,FUCHS
70,PANCHO VILLA
71,KINGSBURY
72,TÍA ROSA
73,CASTAÑO
74,CENA
75,STUTTGART FUCHS
76,PULMAHUE
77,SALMAS
78,VALENTINA
79,KUCHENMEISTER
80,MARINELA
81,LA SELECTA
82,MANKEKE
83,NUTRA BIEN
84,DEL MONTE
85,PIACCERI
86,MÁXIMA
87,LAGOS DEL SUR
88,COSTA
89,MESTEMACHER
90,NO+GLUTEN
91,DAN CAKE
92,NUTRISA
93,GRANFORNO
94,DACCARETT
95,BAKERI
96,LEIMER
97,MACRODELI
98,DOLCEZZE
99,DILICI
100,NOGLUT
101,TIKA
102,BAUDUCCO
103,CONVIDA
104,QUAKER
105,IANSA
106,SUPREMO
107,OREO
108,SELZ
109,MCKAY
110,TRENCITO
111,ARCOR
112,CLUB SOCIAL
113,MILDRED TEA
114,NESTLÉ
115,VIVO
116,MILO
117,NOT CHICKEN
118,NOT BURGER
119,FRUTOS DEL MAIPO
120,MINUTO VERDE
121,SUPER BEEF
122,SAVORY
123,KING
124,SADIA
125,TRENDY
126,CHAMONIX
127,SAHNE NUSS
128,PANDA
129,SAN FRANCISCO DE LONCOMILLA
130,ZOLE
131,TURKEY HILL
132,VIENNETTA BRESLER
133,GUALLARAUCO
134,MAGNUM
135,SABOR PERUANO
136,CARTE DOR
137,BRESLER
138,COPPELIA
139,NOT ICE CREAM
140,BRAVISSIMO
141,YOGEN FRUZ
142,ROCK
143,FIESTA
144,ITALGELATO
145,FORNO
146,TRAVERSO
147,TIVONI
148,EMUWIPES
149,NIDO
150,NESTLÉ NATURNES
151,PAMPERS
152,SIMONDS
153,BABY LEE
154,HUGGIES
155,BABYSEC
156,NESTUM
157,BABYLAND
158,AMA
159,FAMILY CARE
160,NIDAL
161,DOVE
162,NIVEA
163,SIMOND'S
164,PEPSODENT
165,BELLEKISS
166,HERBAL ESSENCES
167,AROMO
168,BALLERINA
169,LE SANCY
170,KOTEX
171,COLGATE
172,CAREFREE
173,PANTENE
174,LADYSOFT
175,LINIC
176,NOSOTRAS
177,GISELLE
178,FAMILAND
179,FRUCTIS
180,NATURELLA
181,GILLETTE
182,ELITE
183,KADUS
184,HEAD & SHOULDERS
185,BROOKS
186,SENSODYNE
187,ORAL-B
188,AQUAFRESH
189,TÍO NACHO
190,ALWAYS
191,BIO
192,REXONA CLINICAL
193,ELVIVE
194,DENTO
195,DURALÓN
196,PLENITUD
197,PROTEX
198,ORAL FRESH
199,LADY SPEED STICK
200,TRIANON
201,REXONA
202,JOHNSON & JOHNSON
203,PALMOLIVE
204,AXE
205,REXONA MEN CLINICAL
206,TENA
207,VANART
208,COTIDIAN
209,SEDAL
210,DOVE MEN
211,GARNIER
212,LISTERINE
213,SPEED STICK
214,PIELARMINA
215,BIC
216,NEUTROGENA
217,SCHICK
218,UMAI
219,REXONA MEN
220,NUTRISSE
221,ILICIT
222,VANITY
223,MILLEFIORI
224,DETTOL
225,OLD SPICE
226,LECHUGA
227,TAMPAX
228,ALONDRA
229,KADY
230,ETIQUET
231,JEAN LES PINS
232,STUDIO LINE
233,CASTING
234,NATALIE
235,HERBAL CLASSIC
236,LUBRIDERM
237,TEATRICAL
238,BIDEX
239,EXCELLENCE
240,DUO
241,VENUS
242,VEET
243,KOLESTON
244,ORIGINAL REMEDIES
245,HELLO
246,ASEPXIA
247,NIVEA MEN
248,PLAISANCE
249,PETRIZZIO
250,SWISS BEAUTY
251,BENTLEY
252,GELATTI
253,L'OREAL
254,COTOBEL
255,INGLESA 451
256,ITZY
257,PANTENE NUTRIENT BLENDS
258,GOICOECHEA
259,DOVE CLINICAL
260,CORAL
261,CICATRICURE
262,DERMO EXPERTISE
263,LE PETIT OLIVIER
264,IMAGINAIL
265,MAYBELLINE
266,MEN EXPERT
267,PREFACE
268,REVIE
269,FAITH IN NATURE
270,BÍ-O
271,EMUMED
272,MRS. MEYER´S
273,DEPILFLAX
274,GELATTI KIDS
275,WET ONES
276,MASTER CAT
277,IMEXPORTA
278,CACHUPIN
279,MASTER DOG
280,PEDIGREE
281,CHAMPION CAT
282,WHISKAS
283,CHAMPION DOG
284,SABROKAN
285,CAT CHOW
286,DOG CHOW
287,CANNES
288,CUBICAT
289,FELINNES
290,STAY HAPPY
291,FELIX
292,PET'S FUN
293,PURINA ONE
294,AILENCUTRAL ESPINO
295,BEEF MAKER
296,ALUSA
297,DROP IT
298,LA FACILITA
299,DURACELL
300,SIN MARCA
301,KREA
302,CHEAP
303,ARGOS
304,JUMBO
305,ELY
306,GLADE AUTO SPORT
307,GLADE
308,CHILEAN TRADING
309,BIOELY
310,MEGABRIGHT
311,LA GOTITA
312,PHILLIPS
313,AGUACOL
314,OSTER
315,3M
316,KLÄREN
317,WESTINGHOUSE
318,HAPPY DAYS
319,RASTOP
320,POXIPOL
321,FERRIPALDI
322,TEAM
323,KIT
324,M2
325,LITTLE TREES
326,RAYOVAC
327,NEX
328,ANASAC
329,SINDELEN
330,ENERGIZER
331,RITTIG
332,HENKELL
333,REMA
334,TANAX
335,R66
336,EL GOLFO
337,MAR VERDE
338,AQUA
339,SAN JOSÉ
340,BREDENMASTER
341,CORBAC
342,LA COMPAÑÍA
343,RANA
344,SOLO ITALIA
345,GENIAL
346,DFAB
347,NOT MILK
348,VILAY
349,ADES
350,ORASI
351,LONCOLECHE
352,VIVI COSI
353,ALMOND BREEZE
354,NATURE'S HEART
355,LIGHT & FREE
356,CINTAZUL
357,1+1 SOPROLE
358,QUALY
359,SANTA MARTA
360,OIKOS
361,CALAN
362,ASTRA
363,SUREÑA
364,YEMITA
365,SVELTY
366,CHAMYTO
367,DELINE
368,NEXT
369,SOPROLE YOGHITO
370,ARIZTÍA
371,ACTIVIA
372,CHIQUITÍN
373,CRUCINA
374,LEFERSA
375,YOGU - YOGU
376,PAMPERITA
377,MARCO POLO
378,COLLICO
379,ZEROLACTO
380,REGIMEL
381,KUMEY
382,DANONE
383,LA GRANJA
384,NESQUIK
385,OMEGA 3
386,MÁXIMA MP
387,DORINA
388,SHAKE A SHAKE LONCO LECHE
389,COPACABANA
390,WILD
391,BASE CULINAR
392,COLA CAO
393,KERRYGOLD
394,LAYS
395,LOBOS
396,TUCAPEL
397,TALLIANI
398,MONT BLANC
399,CAROZZI
400,MALLOA
401,HELLMANN'S
402,EVERCRISP
403,ROBINSON CRUSOE
404,LUCCHETTI
405,MIRAFLORES
406,KRAFT
407,MAGGI
408,CHEF
409,BANQUETE
410,NATURA
411,BELMONT
412,TRATTORIA
413,KRYZPO
414,GOURMET
415,WATT'S
416,DOÑA CLARA
417,ROYAL
418,ANGELMO
419,HELLMANN'S SUPREME
420,IMPERIAL
421,POMAROLA
422,VAN CAMP'S
423,WASIL
424,MARTINI
425,SELECTA
426,OLITALIA
427,HEINZ
428,MAIZENA
429,CAMPO LINDO
430,MILLANTÚ
431,DON JUAN
432,FRAGATA
433,LIVEAN
434,P.A.N.
435,BELLA HOLANDESA
436,SPECHT
437,EXOTIC FOOD
438,ACONCAGUA
439,HOFFMANN
440,ACT II
441,BRAVO
442,JB
443,MAMMA MIA
444,MARUCHAN
445,HELLMANN'S DELI
446,MI TIERRA
447,TERRA SANTA
448,OSO
449,HUASCO
450,IANSA AGRO
451,AMBROSOLI
452,CARICIA
453,BRAVO CREAM
454,ESMERALDA
455,CASTILLO
456,NATUREZZA
457,GRANUTS
458,TAKIS
459,VAN COOK
460,PARMALAT
461,PEARL RIVER BRIDGE
462,NOT MAYO
463,AMERICAN CLASSIC
464,PERFECT CHOICE
465,BIOSAL
466,BONANZA
467,MAZZETTI
468,MONTECRISTO
469,DOÑAREPA
470,GLORIA
471,CASA VERDE
472,BRAGG
473,MUTTI
474,GRAN AREPA
475,ALCAFOOD
476,SAMUI
477,LA FUENTE NATURAL
478,LEVAMAS
479,INKA CHIPS
480,INFERNO
481,EN LÍNEA
482,INKA CORN
483,LORENZ
484,ALACENA
485,ORGRAN
486,DAILY
487,RETRO SNACK
488,DEYCO
489,CHOVI
490,KÜHNE
491,CARMENCITA
492,COCK BRAND
493,PURIPOP
494,BRIDGE PEARL RIVER
495,ALTO LA CRUZ
496,DE LA ROSA
497,BUKA
498,RED SPOON
499,PRINGLES
500,NORY
501,VIGILANTE
502,INKA CROPS
503,MIZOS
504,HIPS
505,MANARE
506,JARDIN ANDES
507,TABASCO
508,KIKKOMAN
509,PERELLÓ
510,LA MOLISANA
511,LA COSTEÑA
512,KAZAI
513,NUCETE
514,FRUTISA
515,BABY RAYS
516,THAI
517,DE CAMACHO
518,HUNT'S
519,BEORGANICS
520,ISOLA BIO
521,BOB'S RED MILL
522,PROVENZAL
523,BORNIER
524,PALMIPASTA
525,SUK
526,SNYDERS
527,MI PLANTA MORRÓN
528,EGGLESS
529,PASSAGE FOODS
530,LOCOS POR EL ASADO
531,SCHWARTAU
532,PALMIRICE
533,IMPERATORE
534,FRUTAS Y VERDURAS PROPIAS
535,FRUTAS Y VERDURAS SANTA ISABEL
536,TRIBU
537,AGROSANO
538,DOLE
539,GERMALIMP
540,EMPORIA NUTS
541,GRANEL
542,AL VACÍO
543,AMERICANO
544,BORDÓN
545,COOK & FUN
546,LEBON
547,ESTADOS UNIDOS
548,TAK
549,MARFRIG
550,SUPERIOR
551,NOVA
552,HOME CARE
553,CONFORT
554,SWAN
555,ABOLENGO
556,FUZOL
557,CLOROX
558,CIF
559,ACE
560,FAVORITA
561,OMO
562,CLORINDA
563,COPIHUE
564,SCOTT
565,IGENIX
566,RINSO
567,VIRUTEX
568,POETT
569,IMPEKE
570,LYSOFORM
571,DOWNY
572,FIBRO
573,MAXIMA
574,VIRGINIA
575,GLASSEX
576,HARPIC
577,MAGISTRAL
578,POPEYE
579,SOFT
580,ARIEL
581,ANDES
582,EXCELL
583,PATO PURIFIC
584,GRAN COPIHUE
585,BIOFRESCURA
586,MANLAC
587,LUMINOSA
588,VANISH
589,QUIX
590,PUERTO VARAS
591,COMFORT
592,BRILLINA VIRGINIA
593,WYN
594,MR. MÚSCULO
595,LYSOL
596,ALEX
597,DRIVE
598,AROM
599,AIR WICK
600,GRAN ANDES
601,SUN
602,RAID
603,BASULIP
604,KILLER
605,NUGGET
606,SANTA LUCIA
607,D-WIPES
608,SANYTOL
609,DAWN
610,MR MUSCULO
611,VILEDA
612,BOLSAS REUTILIZABLES
613,KH-7
614,SCOTCH BRITE
615,SPONTEX
616,CENCOSUD
617,FROSCH
618,COCA-COLA
619,SPRITE
620,BENEDICTINO
621,CACHANTUN
622,FANTA
623,PEPSI
624,VITAL
625,AQUARIUS
626,MAS
627,DEL VALLE
628,KEM
629,LIMÓN SODA
630,GATORADE
631,BILZ
632,PAP
633,NORDIC MIST
634,CANADA DRY
635,MONSTER
636,ZUKO
637,RED BULL
638,7UP
639,INKA KOLA
640,LIPTON
641,SPRITE ZERO
642,ORANGE CRUSH
643,POWERADE
644,MR. BIG
645,SPRIM
646,KEM XTREME
647,SUEROX
648,YUZ
649,LIMON SODA LIGHT
650,FANTA ZERO
651,FRUGO
652,CANADA DRY ZERO
653,OKF
654,IMPERDIBILE
655,CITRIC
656,BURBUJÍN
657,DR. PEPPER
658,ANDINA
659,PONY MALTA
660,KAPO
661,PUYEHUE
662,AFE
663,KOMBUCHACHA
664,HOLA HOSAN
665,BLESS
666,FENTIMANS
667,INCA KOLA
668,HOMEMAKER
669,LOVE LEMON
670,BILZ ZERO
671,GUARANÁ
672,PAP ZERO
673,NATURAL MAQUI
674,CRUSH LIGHT
675,CRUSH
676,SOFRUCO
677,DON SIMON
678,EVIAN
679,IRONADE
