id_product,category,brand,type_product,name,image_url,description,ingredients
0,0,None,0,NA,https://santaisabel.vtexassets.com/arquivos/ids/189960-750-750?width=750&height=750&aspect=true,EXQUISITO QUESO MANTECOSO LAMINADO HECHO CON LECHE NATURAL. QUESO NATURALMENTE LIBRE DE LACTOSA. CONTIENE: 28 LÁMINAS EN ENVASE RESELLABLE.  EXQUISITO QUESO MANTECOSO LAMINADO HECHO CON LECHE NATURAL. QUESO NATURALMENTE LIBRE DE LACTOSA. CONTIENE: 28 LÁMINAS EN ENVASE RESELLABLE. ,"LECHE NATURAL PARCIALMENTE DESCREMADA, SAL, CLORURO DE CALCIO, CUAJO, NITRATO DE SODIO, CULTIVOS LÁCTEOS SELECCIONADOS"
1,2,None,0,QUESO GAUDA RANCO LAMINADO GRANEL,https://santaisabel.vtexassets.com/arquivos/ids/161750-750-750?width=750&height=750&aspect=true,"NATURALMENTE SIN LACTOSA. QUESO GAUDA LAMINADO DE COLÚN, IDEADO ESPECIALMENTE PARA SANDWICH. EN VERSIÓN GRANEL.",NA
2,4,None,0,JAMÓN ACARAMELADO GRANEL,https://santaisabel.vtexassets.com/arquivos/ids/157636-750-750?width=750&height=750&aspect=true,"TIPO DE PRODUCTO
JAMÓN
CONTENIDO
A GRANEL
VARIEDAD
JAMONES",NA
3,6,None,0,QUESO MANTECOSO LAMINADO GRANEL QUILQUE,https://santaisabel.vtexassets.com/arquivos/ids/161745-750-750?width=750&height=750&aspect=true,"DELICIOSO QUESO QUILQUE, PERFECTO PARA PREPARARLO EN ESE RICO SÁNDWICH QUE TANTO TE GUSTA A LA HORA DEL DESAYUNO.",NA
4,8,None,0,QUESO GAUDA 500 G,https://santaisabel.vtexassets.com/arquivos/ids/180992-750-750?width=750&height=750&aspect=true,"QUESO GAUDA DE CUISINE & CO, UN PRODUCTO DELICIOSO, DE TEXTURA SUAVE, SABOR AUTÉNTICO. IDEAL PARA ACOMPAÑAR UN SÁDWICH O ALGUNA PREPARACIÓN QUE LO AMERITE.",NA
5,8,None,0,QUESO CREMA PASTEURIZADO 226 G,https://santaisabel.vtexassets.com/arquivos/ids/168648-750-750?width=750&height=750&aspect=true,"PERFECTO PARA CUALQUIER PREPARACIÓN, YA SEA DULCE O SALADA. DELICIOSA TEXTURA, MÁXIMA CREMOSIDAD QUE HARÁ TUS COMIDAS Y POSTRES UNA EXPERIENCIA FANTÁSTICA.",NA
6,4,None,0,JAMÓN COLONIAL GRANEL,https://santaisabel.vtexassets.com/arquivos/ids/163756-750-750?width=750&height=750&aspect=true,EL JAMÓN COLONIA DE WINTER ES RECOMENDADO PARA COCKTAIL O SANDWICH. SU GRAN CALIDAD Y SABOR LO CARACTERIZAN.,NA
7,12,None,0,JAMÓN ARTESANAL GRANEL,https://santaisabel.vtexassets.com/arquivos/ids/157622-750-750?width=750&height=750&aspect=true,"TIPO DE PRODUCTO
JAMÓN",NA
8,14,None,0,JAMÓN PIERNA ARTESANAL PF GRANEL,https://santaisabel.vtexassets.com/arquivos/ids/157619-750-750?width=750&height=750&aspect=true,"EL JAMÓN ARTESANAL ES UN PRODUCTO ELABORADO CON UN CORTE ESPECIAL DE LA PIERNA DEL CERDO. ARMADO ARTESANALMENTE, CUBIERTO DE UNA CAPA DE FINO CARAMELO GLASEADO, ENVASADO AL VACÍO, PARA LUEGO SER SOMETIDO A UN PROCESO TÉRMICO DE COCCIÓN MEDIANTE EL CUAL SE ASEGURA SU CONSERVABILIDAD Y TERNEZA. IDEAL PARA EL PALADAR DEL CONSUMIDOR EXIGENTE. EL JAMÓN ARTESANAL ES UN PRODUCTO ELABORADO CON UN CORTE ESPECIAL DE LA PIERNA DEL CERDO. ARMADO ARTESANALMENTE, CUBIERTO DE UNA CAPA DE FINO CARAMELO GLASEADO, ENVASADO AL VACÍO, PARA LUEGO SER SOMETIDO A UN PROCESO TÉRMICO DE COCCIÓN MEDIANTE EL CUAL SE ASEGURA SU CONSERVABILIDAD Y TERNEZA. IDEAL PARA EL PALADAR DEL CONSUMIDOR EXIGENTE.",NA
9,2,None,0,QUESO REGGIANITO RALLADO 40 G,https://santaisabel.vtexassets.com/arquivos/ids/161701-750-750?width=750&height=750&aspect=true,"QUESO REGGIANITO RALLADO DE COLUN, CONTENIDO 40 GR. ELABORADO EN ORIGEN. NATURALMENTE SIN LACTOSA. PRODUCTO OBTENIDO A PARTIR DE QUESO REGGIANITTO MADURO, EL CUAL ES SOMETIDO A UN PROCESO DE DESINTEGRACIÓN MECÁNICA Y DESHIDRATACIÓN POR CALOR. SU PRESENTACIÓN ES EN FORMA DE GRANO FINO.","LECHE PASTEURIZADA, SAL, CLORURO DE CALCIO, CUAJO, NITRATO DE SODIO, CULTIVOS LÁCTEOS"
