id_supermarket,id_product,normal_price,sale_price,url_product,date,available
0,0,NA,49,https://www.santaisabel.cl/quesomantecoso-quilque-28laminasenvaseresellablealvacio500grs-2/p,2022-10-03,Yes
0,1,NA,1016,https://www.santaisabel.cl/queso-ranco-colun-laminado-granel-2-2-2-2-2/p,2022-10-03,Yes
0,2,NA,NA,https://www.santaisabel.cl/jamon-acaramelado-winter-granel-2/p,2022-10-03,No
0,3,NA,976,https://www.santaisabel.cl/queso-mantecoso-quilque-granel/p,2022-10-03,Yes
0,4,NA,4969,https://www.santaisabel.cl/queso-gauda-500-g-cuisine-and-co-1885308/p,2022-10-03,Yes
0,5,2449,2399,https://www.santaisabel.cl/queso-crema-pasteurizado-226-g-cuisine-and-co-1820460/p,2022-10-03,Yes
0,6,900,720,https://www.santaisabel.cl/jamon-colonia-winter-granel/p,2022-10-03,Yes
0,7,NA,NA,https://www.santaisabel.cl/jamon-artesanal-receta-del-abuelo-g/p,2022-10-03,No
0,8,NA,760,https://www.santaisabel.cl/jamon-pierna-artesanal-pf-granel/p,2022-10-03,Yes
0,9,NA,929,https://www.santaisabel.cl/queso-reggianito-colun-rallado-40-g-2/p,2022-10-03,Yes
