,url_category,name,supermarket
0,https://www.santaisabel.cl/quesos-y-fiambres,Quesos y Fiambres,Santa Isabel
1,https://www.santaisabel.cl/panaderia-y-pasteleria,Panadería y Pastelería,Santa Isabel
2,https://www.santaisabel.cl/desayuno-y-dulces,Desayuno y Dulces,Santa Isabel
3,https://www.santaisabel.cl/congelados,Congelados,Santa Isabel
4,https://www.santaisabel.cl/vinos-cervezas-y-licores,"Vinos, Cervezas y Licores",Santa Isabel
5,https://www.santaisabel.cl/mi-bebe,Bebé,Santa Isabel
6,https://www.santaisabel.cl/belleza-y-cuidado-personal,Belleza y Cuidado Personal,Santa Isabel
7,https://www.santaisabel.cl/mascotas,Mascotas,Santa Isabel
8,https://www.santaisabel.cl/hogar,Hogar,Santa Isabel
9,https://www.santaisabel.cl/pescaderia,Pescadería,Santa Isabel
10,https://www.santaisabel.cl/comidas-preparadas,Comidas Preparadas,Santa Isabel
11,https://www.santaisabel.cl/mundo-vegano,Bebidas Vegetales,Santa Isabel
12,https://www.santaisabel.cl/lacteos,Lácteos,Santa Isabel
13,https://www.santaisabel.cl/despensa,Despensa,Santa Isabel
14,https://www.santaisabel.cl/frutas-y-verduras,Frutas y Verduras,Santa Isabel
15,https://www.santaisabel.cl/carniceria,Carnicería,Santa Isabel
16,https://www.santaisabel.cl/limpieza,Limpieza,Santa Isabel
17,https://www.santaisabel.cl/bebidas-aguas-y-jugos,Botillería,Santa Isabel
